,track name,artists,album,release year,playlist name,track id,playlist id,popularity
90,Stimulate My Soul,bleach.bath,Dedication To The Cause,2023,chill cybercore  🩻💎💿  ,2qeBa7Vk5huRME550RXuZM,5HM6ef3qfyK4mm6g7f3uDd,0
91,//obsession//,Blksmiith,A MESSAGE FROM MY DIGITAL TWIN,2022,chill cybercore  🩻💎💿  ,7gX1BZnSbtv0nhkKEJ1mYZ,5HM6ef3qfyK4mm6g7f3uDd,0
92,60FPS - Star Trash Remix,"Blksmiith, Star Trash",A MESSAGE FROM MY DIGITAL TWIN,2022,chill cybercore  🩻💎💿  ,7wH75q364bMPVIhl2veXc8,5HM6ef3qfyK4mm6g7f3uDd,0
93,outer heaven,mindvacy,outer heaven,2022,chill cybercore  🩻💎💿  ,2CvX3oiTKGzeg6Xs3PHGUj,5HM6ef3qfyK4mm6g7f3uDd,37
94,Pulse,Antent,Pulse,2022,chill cybercore  🩻💎💿  ,20C59ZiRbuRZIY2Xbup9Wl,5HM6ef3qfyK4mm6g7f3uDd,58
95,exactly nothing,Rory in early 20s,exactly nothing,2022,chill cybercore  🩻💎💿  ,0m6XaR2bZiQwgqTCN8nZcA,5HM6ef3qfyK4mm6g7f3uDd,32
96,Shine or Die,Ftlframe,Overdrive Dreams,2022,chill cybercore  🩻💎💿  ,687vTkzF12wEa474fT3DdB,5HM6ef3qfyK4mm6g7f3uDd,43
97,"i want you, i need you, i miss you.",Enkei,chlorine puppet - route B,2023,chill cybercore  🩻💎💿  ,5Jez5K4HzddUBbbW9SDxtF,5HM6ef3qfyK4mm6g7f3uDd,0
98,inSIDE,Enkei,spirals and that damn flower,2023,chill cybercore  🩻💎💿  ,36mSO556Z2e9vUC8sGayDS,5HM6ef3qfyK4mm6g7f3uDd,0
99,SLEEPWALKER,"dreamstation, Star Trash","Dreamcore, Vol. 1",2023,chill cybercore  🩻💎💿  ,7MI5CZQrLSl6jMzEQ2vYEr,5HM6ef3qfyK4mm6g7f3uDd,0
100,abroad,11vx,abroad,2023,chill cybercore  🩻💎💿  ,6YdFePOtOJBLn6tR1D6nUg,5HM6ef3qfyK4mm6g7f3uDd,33
101,Goes..!,"dreamstation, GnB Chili","Dreamcore, Vol. 1",2023,chill cybercore  🩻💎💿  ,2AQnxt35UdBTIu3tRItI77,5HM6ef3qfyK4mm6g7f3uDd,0
